Trial, Array Size, Time Elapsed
1,10000,0
2,20000,1
3,30000,1
4,40000,2
5,50000,3
6,60000,4
7,70000,5
8,80000,7
9,90000,8
10,100000,9
11,110000,11
12,120000,13
13,130000,14
14,140000,16
15,150000,18
16,160000,20
17,170000,22
18,180000,24
19,190000,27
20,200000,29
21,210000,32
22,220000,34
23,230000,37
24,240000,40
25,250000,43
26,260000,46
27,270000,49
28,280000,52
29,290000,55
30,300000,59
31,310000,62
32,320000,66
33,330000,69
34,340000,73
35,350000,77
36,360000,81
37,370000,85
38,380000,89
39,390000,94
40,400000,98
41,410000,102
42,420000,107
43,430000,111
44,440000,116
45,450000,121
46,460000,126
47,470000,131
48,480000,136
49,490000,141
50,500000,147
51,510000,152
52,520000,157
53,530000,163
54,540000,169
55,550000,175
56,560000,180
57,570000,186
58,580000,192
59,590000,199
60,600000,205
61,610000,211
62,620000,218
63,630000,224
64,640000,231
65,650000,237
66,660000,244
67,670000,251
68,680000,258
69,690000,265
70,700000,273
71,710000,280
72,720000,287
73,730000,295
74,740000,303
75,750000,311
76,760000,320
77,770000,326
78,780000,334
79,790000,342
80,800000,350
81,810000,359
82,820000,367
83,830000,376
84,840000,384
85,850000,393
86,860000,402
87,870000,411
88,880000,419
89,890000,429
90,900000,439
91,910000,447
92,920000,456
93,930000,466
94,940000,475
95,950000,485
96,960000,495
97,970000,505
98,980000,515
99,990000,526
100,1000000,537
